Line | Change | Depths (D/C/M/E) | Content
3    | E+1      | 0/0/0/1 | import {
11   | E-1      | 0/0/0/0 | } from 'lucide-react'
44   | E+1      | 0/0/0/1 | import {
46   | E-1      | 0/0/0/0 | } from '../components/organisms/Table'
94   | E+1      | 0/0/0/1 | export function ComponentGallery() {
103  | E+1      | 0/0/0/2 | useEffect(() => {
105  | E+1      | 0/0/0/3 | if (savedMode === 'dark' || (!savedMode && window.matchMedia('(prefers-color-sch
107  | E-1      | 0/0/0/2 | }
108  | E-1      | 0/0/0/1 | }, [])
111  | E+1      | 0/0/0/2 | useEffect(() => {
112  | E+1      | 0/0/0/3 | if (darkMode) {
118  | E-1      | 0/0/0/2 | }
119  | E-1      | 0/0/0/1 | }, [darkMode])
125  | E+1      | 0/0/0/2 | const addNotification = (title: string, type: 'success' | 'error' | 'info' | 'wa
128  | E-1      | 0/0/0/1 | }
132  | E+1      | 0/0/0/2 | useEffect(() => {
135  | E-1      | 0/0/0/1 | }, [])
137  | E+1      | 0/0/0/2 | const saveScreen = (screen: any) => {
143  | E-1      | 0/0/0/1 | }
145  | E+1      | 0/0/0/2 | const deleteScreen = (id: number) => {
149  | E-1      | 0/0/0/1 | }
162  | E+1      | 0/0/0/2 | if (activeShell === 'sidebar') {
165  | E+1      | 0/0/0/3 | navigation={[
170  | E-1      | 0/0/0/2 | ]}
173  | D+1      | 1/0/0/2 | <div className="space-y-8">
175  | D+1      | 2/0/0/2 | <div className="text-left">
178  | D-1      | 1/0/0/2 | </div>
181  | D+1      | 2/0/0/2 | <div className="grid grid-cols-1 md:grid-cols-3 gap-6">
185  | D-1      | 1/0/0/2 | </div>
186  | D-1      | 0/0/0/2 | </div>
189  | E-1      | 0/0/0/1 | }
191  | E+1      | 0/0/0/2 | if (activeShell === 'stacked') {
194  | E+1      | 0/0/0/3 | navigation={[
199  | E-1      | 0/0/0/2 | ]}
201  | D+1      | 1/0/0/2 | <div className="space-y-8 text-left">
203  | D+1      | 2/0/0/2 | <div>
206  | D-1      | 1/0/0/2 | </div>
218  | D-1      | 0/0/0/2 | </div>
221  | E-1      | 0/0/0/1 | }
224  | D+1      | 1/0/0/1 | <div className="min-h-screen bg-slate-50 dark:bg-slate-950 transition-colors dur
227  | D+1      | 2/0/0/1 | <div className="flex items-center space-x-4 shrink-0">
229  | D+1      | 3/0/0/1 | <div>
232  | D-1      | 2/0/0/1 | </div>
233  | D-1      | 1/0/0/1 | </div>
235  | D+1      | 2/0/0/1 | <div className="flex-1 max-w-xl">
237  | D-1      | 1/0/0/1 | </div>
239  | D+1      | 2/0/0/1 | <div className="flex gap-4 items-center overflow-x-auto no-scrollbar">
271  | D-1      | 1/0/0/1 | </div>
274  | M+1      | 1/0/1/1 | <main className="pt-32 pb-20 px-8">
275  | C+1      | 1/1/1/1 | <Container>
277  | E+1      | 1/1/1/2 | {activeTab === 'theme' && (
278  | D+1      | 2/1/1/2 | <div className="space-y-16 animate-in fade-in slide-in-from-bottom-4 duration-50
279  | D+1      | 3/1/1/2 | <div className="border-b border-slate-200 dark:border-slate-800 pb-4">
282  | D-1      | 2/1/1/2 | </div>
284  | D-1      | 1/1/1/2 | </div>
285  | E-1      | 1/1/1/1 | )}
288  | E+1      | 1/1/1/2 | {activeTab === 'layout' && (
289  | D+1      | 2/1/1/2 | <div className="space-y-16 animate-in fade-in slide-in-from-bottom-4 duration-50
290  | D+1      | 3/1/1/2 | <div className="border-b border-slate-200 dark:border-slate-800 pb-4">
293  | D-1      | 2/1/1/2 | </div>
295  | D+1      | 3/1/1/2 | <div className="grid grid-cols-1 lg:grid-cols-2 gap-12">
297  | D+1      | 4/1/1/2 | <div className="space-y-8">
299  | D+1      | 5/1/1/2 | <div className="space-y-4">
300  | D+1      | 6/1/1/2 | <div className="bg-slate-100 dark:bg-slate-800/50 rounded-2xl p-4 border border-
301  | C+1      | 6/2/1/2 | <Container className="bg-white dark:bg-slate-900 p-6 rounded-xl border border-bl
303  | C-1      | 6/1/1/2 | </Container>
304  | D-1      | 5/1/1/2 | </div>
306  | D-1      | 4/1/1/2 | </div>
307  | D-1      | 3/1/1/2 | </div>
310  | D+1      | 4/1/1/2 | <div className="space-y-8">
312  | D+1      | 5/1/1/2 | <div className="space-y-2">
316  | D-1      | 4/1/1/2 | </div>
317  | D-1      | 3/1/1/2 | </div>
320  | D+1      | 4/1/1/2 | <div className="space-y-8">
339  | D-1      | 3/1/1/2 | </div>
342  | D+1      | 4/1/1/2 | <div className="space-y-8">
358  | D-1      | 3/1/1/2 | </div>
359  | D-1      | 2/1/1/2 | </div>
360  | D-1      | 1/1/1/2 | </div>
361  | E-1      | 1/1/1/1 | )}
364  | E+1      | 1/1/1/2 | {activeTab === 'elements' && (
365  | D+1      | 2/1/1/2 | <div className="space-y-16 animate-in fade-in slide-in-from-bottom-4 duration-50
366  | D+1      | 3/1/1/2 | <div className="border-b border-slate-200 dark:border-slate-800 pb-4">
369  | D-1      | 2/1/1/2 | </div>
371  | D+1      | 3/1/1/2 | <div className="grid grid-cols-1 md:grid-cols-2 lg:grid-cols-3 gap-8">
373  | D+1      | 4/1/1/2 | <div className="space-y-8">
380  | D+1      | 5/1/1/2 | <div className="flex flex-wrap gap-2">
385  | D-1      | 4/1/1/2 | </div>
386  | D+1      | 5/1/1/2 | <div className="space-y-3">
393  | D-1      | 4/1/1/2 | </div>
396  | D-1      | 3/1/1/2 | </div>
